Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
89;1;Kompleks minerałów;Witaminy i minerały;0;;;;;kompleks-mineralow;
90;1;Białka na noc;Odżywki białkowe;0;;;;;bialka-na-noc;
91;1;Dekstroza;Węglowodany;0;;;;;dekstroza;
92;1;Carbo;Węglowodany;0;;;;;carbo;
93;1;Pojemniki na żywność i suplementy;Akcesoria;0;;;;;pojemniki-na-zywnosc-i-suplementy;
94;1;Ręczniki i maty;Akcesoria;0;;;;;reczniki-i-maty;
95;1;Izotoniki;Węglowodany;0;;;;;izotoniki;
96;1;Skakanki;Akcesoria;0;;;;;skakanki;
97;1;Olej z kryla;Zdrowe tłuszcze;0;;;;;olej-z-kryla;
98;1;Astaksantyna;Antyoksydanty;0;;;;;astaksantyna;
99;1;Pozostałe antyoksydanty;Antyoksydanty;0;;;;;pozostale-antyoksydanty;
100;1;ALA;Zdrowe tłuszcze;0;;;;;ala;
101;1;Zdrowa wątroba;Detoks;0;;;;;zdrowa-watroba;
